Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Study of species specificity of the amelogenin system for genetic sex determination].","/pubmed/12939838","Zemskova EIu, Frolova SA, Sleptsova ZhV, Ivanov PL.","Sud Med Ekspert. 2003 Jul-Aug;46(4):19-22. Russian. ","Sud Med Ekspert.  2003","PubMed","citation","PMID:12939838","pubmed","12939838","create date:2003/08/28 | first author:Zemskova EIu",
"[Epidemic study of pet allergy in Wakayama Prefecture].","/pubmed/12931642","Seno S, Enomoto T, Dake Y, Saito Y, Ikeda H, Funakoshi H, Sogo H, Shibano A, Sakota T, Suzuki M, Yazawa Y.","Nihon Jibiinkoka Gakkai Kaiho. 2003 Jul;106(7):750-3. Japanese. ","Nihon Jibiinkoka Gakkai Kaiho.  2003","PubMed","citation","PMID:12931642","pubmed","12931642","create date:2003/08/23 | first author:Seno S",
"Endocrine diseases in dogs and cats: similarities and differences with endocrine diseases in humans.","/pubmed/12914747","Rijnberk A, Kooistra HS, Mol JA.","Growth Horm IGF Res. 2003 Aug;13 Suppl A:S158-64. Review.","Growth Horm IGF Res.  2003","PubMed","citation","PMID:12914747","pubmed","12914747","create date:2003/08/14 | first author:Rijnberk A",
"Endocrine diseases in companion animals.","/pubmed/12914746","Casanueva FF.","Growth Horm IGF Res. 2003 Aug;13 Suppl A:S157. No abstract available. ","Growth Horm IGF Res.  2003","PubMed","citation","PMID:12914746","pubmed","12914746","create date:2003/08/14 | first author:Casanueva FF",
"Ehrlichiosis and related infections.","/pubmed/12910747","Cohn LA.","Vet Clin North Am Small Anim Pract. 2003 Jul;33(4):863-84. Review.","Vet Clin North Am Small Anim Pract.  2003","PubMed","citation","PMID:12910747","pubmed","12910747","create date:2003/08/13 | first author:Cohn LA",
"Update on antifungal therapy.","/pubmed/12910741","Grooters AM, Taboada J.","Vet Clin North Am Small Anim Pract. 2003 Jul;33(4):749-58, vi. Review.","Vet Clin North Am Small Anim Pract.  2003","PubMed","citation","PMID:12910741","pubmed","12910741","create date:2003/08/13 | first author:Grooters AM",
"Update on molecular techniques for diagnostic testing of infectious disease.","/pubmed/12910738","Sellon RK.","Vet Clin North Am Small Anim Pract. 2003 Jul;33(4):677-93. Review.","Vet Clin North Am Small Anim Pract.  2003","PubMed","citation","PMID:12910738","pubmed","12910738","create date:2003/08/13 | first author:Sellon RK",
"Evaluation of risk factors for bite wounds inflicted on caregivers by dogs and cats in a veterinary teaching hospital.","/pubmed/12906224","Drobatz KJ, Smith G.","J Am Vet Med Assoc. 2003 Aug 1;223(3):312-6.","J Am Vet Med Assoc.  2003","PubMed","citation","PMID:12906224","pubmed","12906224","create date:2003/08/09 | first author:Drobatz KJ",
"Effects of specific immunotherapy on the development of new sensitisations in monosensitised patients.","/pubmed/12890414","Tella R, Bartra J, San Miguel M, Olona M, Bosque M, Gaig P, Garcia-Ortega P.","Allergol Immunopathol (Madr). 2003 Jul-Aug;31(4):221-5.","Allergol Immunopathol (Madr).  2003","PubMed","citation","PMID:12890414","pubmed","12890414","create date:2003/08/02 | first author:Tella R",
"HLA class II genotypic frequencies in atopic asthma: association of DRB1*01-DQB1*0501 genotype with Artemisia vulgaris allergic asthma.","/pubmed/12878360","Torío A, Sánchez-Guerrero I, Muro M, Villar LM, Minguela A, Marín L, Moya-Quiles MR, Montes-Ares O, Pagán J, Alvarez-López MR.","Hum Immunol. 2003 Aug;64(8):811-5.","Hum Immunol.  2003","PubMed","citation","PMID:12878360","pubmed","12878360","create date:2003/07/25 | first author:Torío A",
"Number of unowned free-roaming cats in a college community in the southern United States and characteristics of community residents who feed them.","/pubmed/12875446","Levy JK, Woods JE, Turick SL, Etheridge DL.","J Am Vet Med Assoc. 2003 Jul 15;223(2):202-5.","J Am Vet Med Assoc.  2003","PubMed","citation","PMID:12875446","pubmed","12875446","create date:2003/07/24 | first author:Levy JK",
"Nonvascular smooth muscle alpha-actin positive cells in the choroid of higher primates.","/pubmed/12868003","May CA.","Curr Eye Res. 2003 Jul;27(1):1-6.","Curr Eye Res.  2003","PubMed","citation","PMID:12868003","pubmed","12868003","create date:2003/07/18 | first author:May CA",
"Clinical impact of persistent Bartonella bacteremia in humans and animals.","/pubmed/12860639","Chomel BB, Kasten RW, Sykes JE, Boulouis HJ, Breitschwerdt EB.","Ann N Y Acad Sci. 2003 Jun;990:267-78. Review.","Ann N Y Acad Sci.  2003","PubMed","citation","PMID:12860639","pubmed","12860639","create date:2003/07/16 | first author:Chomel BB",
"New chemotherapy agents in veterinary medicine.","/pubmed/12852240","Moore AS, Kitchell BE.","Vet Clin North Am Small Anim Pract. 2003 May;33(3):629-49, viii. Review.","Vet Clin North Am Small Anim Pract.  2003","PubMed","citation","PMID:12852240","pubmed","12852240","create date:2003/07/11 | first author:Moore AS",
"Influences of asthma and household environment on lung function in children and adolescents: the third national health and nutrition examination survey.","/pubmed/12851231","Chapman RS, Hadden WC, Perlin SA.","Am J Epidemiol. 2003 Jul 15;158(2):175-89.","Am J Epidemiol.  2003","PubMed","citation","PMID:12851231","pubmed","12851231","create date:2003/07/10 | first author:Chapman RS",
"Controlling indoor allergens.","/pubmed/12840698","de Blay F, Birba E.","Curr Opin Allergy Clin Immunol. 2003 Jun;3(3):165-8. Review.","Curr Opin Allergy Clin Immunol.  2003","PubMed","citation","PMID:12840698","pubmed","12840698","create date:2003/07/04 | first author:de Blay F",
"Review of the pharmacokinetics, interactions and adverse reactions of cyclosporine in people, dogs and cats.","/pubmed/12833934","Robson D.","Vet Rec. 2003 Jun 14;152(24):739-48. Review.","Vet Rec.  2003","PubMed","citation","PMID:12833934","pubmed","12833934","create date:2003/07/02 | first author:Robson D",
"[Respiratory illnesses in children younger than 5 years of age in southern Brazil: the influence of the home environment].","/pubmed/12831434","Prietsch SO, Fischer GB, César JA, Lempek BS, Barbosa LV Jr, Zogbi L, Cardoso OC, Santos AM.","Rev Panam Salud Publica. 2003 May;13(5):303-10. Portuguese. ","Rev Panam Salud Publica.  2003","PubMed","citation","PMID:12831434","pubmed","12831434","create date:2003/07/02 | first author:Prietsch SO",
"Antibiotic resistance analysis of fecal coliforms to determine fecal pollution sources in a mixed-use watershed.","/pubmed/12807258","Burnes BS.","Environ Monit Assess. 2003 Jun;85(1):87-98.","Environ Monit Assess.  2003","PubMed","citation","PMID:12807258","pubmed","12807258","create date:2003/06/17 | first author:Burnes BS",
"Evaluation of cat and owner characteristics and their relationships to outdoor access of owned cats.","/pubmed/12784959","Clancy EA, Moore AS, Bertone ER.","J Am Vet Med Assoc. 2003 Jun 1;222(11):1541-5. Erratum in: J Am Vet Med Assoc. 2003 Jul 1;223(1):72. ","J Am Vet Med Assoc.  2003","PubMed","citation","PMID:12784959","pubmed","12784959","create date:2003/06/06 | first author:Clancy EA",
"Separation anxiety syndrome in dogs and cats.","/pubmed/12784957","Schwartz S.","J Am Vet Med Assoc. 2003 Jun 1;222(11):1526-32. Review. No abstract available. ","J Am Vet Med Assoc.  2003","PubMed","citation","PMID:12784957","pubmed","12784957","create date:2003/06/06 | first author:Schwartz S",
"Human rabies: a reemerging disease in Costa Rica?","/pubmed/12781014","Badilla X, Pérez-Herra V, Quirós L, Morice A, Jiménez E, Sáenz E, Salazar F, Fernández R, Orciari L, Yager P, Whitfield S, Rupprecht CE.","Emerg Infect Dis. 2003 Jun;9(6):721-3.","Emerg Infect Dis.  2003","PubMed","citation","PMID:12781014 | PMCID:PMC3000141","pubmed","12781014","create date:2003/06/05 | first author:Badilla X",
"Pet allergy: how important for Turkey where there is a low pet ownership rate.","/pubmed/12776448","Mungan D, Celik G, Bavbek S, Misirligil Z.","Allergy Asthma Proc. 2003 Mar-Apr;24(2):137-42.","Allergy Asthma Proc.  2003","PubMed","citation","PMID:12776448","pubmed","12776448","create date:2003/06/05 | first author:Mungan D",
"The relationship of housing and household characteristics to the indoor concentrations of Der f 1, Der p 1, and Fel d 1 measured in dust and air samples.","/pubmed/12775140","Peterson EL, Ownby DR, Johnson CC.","Ann Allergy Asthma Immunol. 2003 May;90(5):564-71.","Ann Allergy Asthma Immunol.  2003","PubMed","citation","PMID:12775140","pubmed","12775140","create date:2003/05/31 | first author:Peterson EL",
"Mechanisms of avian retroviral host range extension.","/pubmed/12767991","Rainey GJ, Natonson A, Maxfield LF, Coffin JM.","J Virol. 2003 Jun;77(12):6709-19.","J Virol.  2003","PubMed","citation","PMID:12767991 | PMCID:PMC156181","pubmed","12767991","create date:2003/05/28 | first author:Rainey GJ",
"Three types of immunotherapics against pythiosis insidiosi developed and evaluated.","/pubmed/12744888","Santurio JM, Leal AT, Leal AB, Festugatto R, Lubeck I, Sallis ES, Copetti MV, Alves SH, Ferreiro L.","Vaccine. 2003 Jun 2;21(19-20):2535-40.","Vaccine.  2003","PubMed","citation","PMID:12744888","pubmed","12744888","create date:2003/05/15 | first author:Santurio JM",
"Early exposure to allergen: is this the cat's meow, or are we barking up the wrong tree?","/pubmed/12743555","Apter AJ.","J Allergy Clin Immunol. 2003 May;111(5):938-46. Review.","J Allergy Clin Immunol.  2003","PubMed","citation","PMID:12743555","pubmed","12743555","create date:2003/05/14 | first author:Apter AJ",
"Use of animation-enhanced video clips for teaching abnormal breathing patterns.","/pubmed/12733099","Hawkins EC, Hansen B, Bunch BL.","J Vet Med Educ. 2003 Spring;30(1):73-7.","J Vet Med Educ.  2003","PubMed","citation","PMID:12733099","pubmed","12733099","create date:2003/05/07 | first author:Hawkins EC",
"Canine transmissible venereal tumor cell depletion of B lymphocytes: molecule(s) specifically toxic for B cells.","/pubmed/12730015","Liao KW, Hung SW, Hsiao YW, Bennett M, Chu RM.","Vet Immunol Immunopathol. 2003 May 12;92(3-4):149-62.","Vet Immunol Immunopathol.  2003","PubMed","citation","PMID:12730015","pubmed","12730015","create date:2003/05/06 | first author:Liao KW",
"Histopathologic and immunophenotypic characterization of extramedullary plasmacytomas in nine cats.","/pubmed/12724564","Majzoub M, Breuer W, Platz SJ, Linke RP, Linke W, Hermanns W.","Vet Pathol. 2003 May;40(3):249-53.","Vet Pathol.  2003","PubMed","citation","PMID:12724564","pubmed","12724564","create date:2003/05/02 | first author:Majzoub M",
"[Epidemiology and epizootiology of rabies in Krasnodar region].","/pubmed/12718186","Gol'denshteĭn ZA, Kalashnikov IA, Mkrtchan MO, Pshenichnyĭ VN, Kupreev EA.","Zh Mikrobiol Epidemiol Immunobiol. 2001 Nov-Dec;(6 Suppl):81-3. Russian. ","Zh Mikrobiol Epidemiol Immunobiol.  2001","PubMed","citation","PMID:12718186","pubmed","12718186","create date:2003/04/30 | first author:Gol'denshteĭn ZA",
"Ly49 genes in non-rodent mammals.","/pubmed/12712264","Gagnier L, Wilhelm BT, Mager DL.","Immunogenetics. 2003 May;55(2):109-15. Epub 2003 Apr 24.","Immunogenetics.  2003","PubMed","citation","PMID:12712264","pubmed","12712264","create date:2003/04/25 | first author:Gagnier L",
"Postoperative wound infection with Pasteurella multocida from a pet cat.","/pubmed/12712125","Chun ML, Buekers TE, Sood AK, Sorosky JI.","Am J Obstet Gynecol. 2003 Apr;188(4):1115-6.","Am J Obstet Gynecol.  2003","PubMed","citation","PMID:12712125","pubmed","12712125","create date:2003/04/25 | first author:Chun ML",
"Heredity, pet ownership, and confounding control in a population-based birth cohort.","/pubmed/12704361","Almqvist C, Egmar AC, van Hage-Hamsten M, Berglind N, Pershagen G, Nordvall SL, Svartengren M, Hedlin G, Wickman M.","J Allergy Clin Immunol. 2003 Apr;111(4):800-6.","J Allergy Clin Immunol.  2003","PubMed","citation","PMID:12704361","pubmed","12704361","create date:2003/04/22 | first author:Almqvist C",
"Toxocariasis: clinical aspects, epidemiology, medical ecology, and molecular aspects.","/pubmed/12692098","Despommier D.","Clin Microbiol Rev. 2003 Apr;16(2):265-72. Review.","Clin Microbiol Rev.  2003","PubMed","citation","PMID:12692098 | PMCID:PMC153144","pubmed","12692098","create date:2003/04/15 | first author:Despommier D",
"Immunological anomalies and thrombocytopenia in 117 dogs and cats diagnosed with chronic fatigue syndrome (CFS).","/pubmed/12688127","Tarello W.","Acta Vet Hung. 2003;51(1):61-72.","Acta Vet Hung.  2003","PubMed","citation","PMID:12688127","pubmed","12688127","create date:2003/04/12 | first author:Tarello W",
"Potential sources of neck and back pain in clinical conditions of dogs and cats: a review.","/pubmed/12672365","Webb AA.","Vet J. 2003 May;165(3):193-213. Review.","Vet J.  2003","PubMed","citation","PMID:12672365","pubmed","12672365","create date:2003/04/04 | first author:Webb AA",
"Synergistic inhibition of the growth in vitro of Microsporum canis by miconazole and chlorhexidine.","/pubmed/12662267","Perrins N, Bond R.","Vet Dermatol. 2003 Apr;14(2):99-102.","Vet Dermatol.  2003","PubMed","citation","PMID:12662267","pubmed","12662267","create date:2003/03/29 | first author:Perrins N",
"Molecular cloning of the feline thymus and activation-regulated chemokine cDNA and its expression in lesional skin of cats with eosinophilic plaque.","/pubmed/12655128","Maeda S, Okayama T, Ohmori K, Masuda K, Ohno K, Tsujimoto H.","J Vet Med Sci. 2003 Feb;65(2):275-8.","J Vet Med Sci.  2003","PubMed","citation","PMID:12655128","pubmed","12655128","create date:2003/03/26 | first author:Maeda S",
"Discrimination between dog-related and vampire bat-related rabies viruses in Brazil by strain-specific reverse transcriptase-polymerase chain reaction and restriction fragment length polymorphism analysis.","/pubmed/12637081","Ito M, Itou T, Shoji Y, Sakai T, Ito FH, Arai YT, Takasaki T, Kurane I.","J Clin Virol. 2003 Apr;26(3):317-30.","J Clin Virol.  2003","PubMed","citation","PMID:12637081","pubmed","12637081","create date:2003/03/15 | first author:Ito M",
"[Information analysis of spinal ganglia].","/pubmed/12629803","Lobko PI, Kovaleva DV, Kovalchuk IE, Pivchenko PG, Rudenok VV, Davydova LA.","Morfologiia. 2000;118(4):36-40. Russian. ","Morfologiia.  2000","PubMed","citation","PMID:12629803","pubmed","12629803","create date:2003/03/13 | first author:Lobko PI",
"Serotonin (5-hydroxytryptamine) glucuronidation in vitro: assay development, human liver microsome activities and species differences.","/pubmed/12623759","Krishnaswamy S, Duan SX, Von Moltke LL, Greenblatt DJ, Sudmeier JL, Bachovchin WW, Court MH.","Xenobiotica. 2003 Feb;33(2):169-80.","Xenobiotica.  2003","PubMed","citation","PMID:12623759","pubmed","12623759","create date:2003/03/08 | first author:Krishnaswamy S",
"Monoclonal antibodies to denatured human ACE (CD 143), broad species specificity, reactivity on paraffin sections, and detection of subtle conformational changes in the C-terminal domain of ACE.","/pubmed/12622775","Balyasnikova IV, Metzger R, Franke FE, Danilov SM.","Tissue Antigens. 2003 Jan;61(1):49-62.","Tissue Antigens.  2003","PubMed","citation","PMID:12622775","pubmed","12622775","create date:2003/03/08 | first author:Balyasnikova IV",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Optimum force magnitude for orthodontic tooth movement: a systematic literature review.","/pubmed/12607860","Ren Y, Maltha JC, Kuijpers-Jagtman AM.","Angle Orthod. 2003 Feb;73(1):86-92.","Angle Orthod.  2003","PubMed","citation","PMID:12607860","pubmed","12607860","create date:2003/02/28 | first author:Ren Y",
"Cyclosporin: applications in small animal dermatology.","/pubmed/12603680","Robson DC, Burton GG.","Vet Dermatol. 2003 Feb;14(1):1-9. Review.","Vet Dermatol.  2003","PubMed","citation","PMID:12603680","pubmed","12603680","create date:2003/02/27 | first author:Robson DC",
"Shape and size of teeth of dogs and cats-relevance to studies of plaque and calculus accumulation.","/pubmed/12593095","Harvey CE.","J Vet Dent. 2002 Dec;19(4):186-95.","J Vet Dent.  2002","PubMed","citation","PMID:12593095","pubmed","12593095","create date:2003/02/21 | first author:Harvey CE",
"Current mite, cat, and dog allergen exposure, pet ownership, and sensitization to inhalant allergens in adults.","/pubmed/12589363","Custovic A, Simpson BM, Simpson A, Hallam CL, Marolia H, Walsh D, Campbell J, Woodcock A; National Asthma Campaign Manchester Asthma and Allergy Study Group.","J Allergy Clin Immunol. 2003 Feb;111(2):402-7.","J Allergy Clin Immunol.  2003","PubMed","citation","PMID:12589363","pubmed","12589363","create date:2003/02/18 | first author:Custovic A",
"Early pet exposure: friend or foe?","/pubmed/12582308","Simpson A, Custovic A.","Curr Opin Allergy Clin Immunol. 2003 Feb;3(1):7-14. Review.","Curr Opin Allergy Clin Immunol.  2003","PubMed","citation","PMID:12582308","pubmed","12582308","create date:2003/02/13 | first author:Simpson A",
"Familial and environmental determinants for wheezing and asthma in a case-control study of school children in Palestine.","/pubmed/12580909","El-Sharif N, Abdeen Z, Barghuthy F, Nemery B.","Clin Exp Allergy. 2003 Feb;33(2):176-86.","Clin Exp Allergy.  2003","PubMed","citation","PMID:12580909","pubmed","12580909","create date:2003/02/13 | first author:El-Sharif N",
"Pets in the home and the development of pet allergy in adulthood. The Copenhagen Allergy Study.","/pubmed/12580802","Linneberg A, Nielsen NH, Madsen F, Frølund L, Dirksen A, Jørgensen T.","Allergy. 2003 Jan;58(1):21-6.","Allergy.  2003","PubMed","citation","PMID:12580802","pubmed","12580802","create date:2003/02/13 | first author:Linneberg A",
"Companion animal adoption study.","/pubmed/12578739","Neidhart L, Boyd R.","J Appl Anim Welf Sci. 2002;5(3):175-92.","J Appl Anim Welf Sci.  2002","PubMed","citation","PMID:12578739","pubmed","12578739","create date:2003/02/13 | first author:Neidhart L",
"Comparison of seven Blastomyces dermatitidis antigens for the detection of antibodies in humans with occupationally acquired blastomycosis.","/pubmed/12572716","Roomiany PL, Axtell RC, Scalarone GM.","Mycoses. 2002 Oct;45(8):282-6.","Mycoses.  2002","PubMed","citation","PMID:12572716","pubmed","12572716","create date:2003/02/08 | first author:Roomiany PL",
"Study of dog and cat owners' perceptions of medical treatment for cancer.","/pubmed/12570310","Brønden LB, Rutteman GR, Flagstad A, Teske E.","Vet Rec. 2003 Jan 18;152(3):77-80.","Vet Rec.  2003","PubMed","citation","PMID:12570310","pubmed","12570310","create date:2003/02/07 | first author:Brønden LB",
"OCD study receives praise.","/pubmed/12555975","Cameron DB.","J Am Vet Med Assoc. 2003 Jan 15;222(2):151; author reply 151-2. No abstract available. ","J Am Vet Med Assoc.  2003","PubMed","citation","PMID:12555975","pubmed","12555975","create date:2003/01/31 | first author:Cameron DB",
"Massive infestation of cutanea larva migrans.","/pubmed/12546776","Sugathan P.","Dermatol Online J. 2002 Oct;8(2):21.","Dermatol Online J.  2002","PubMed","citation","PMID:12546776","pubmed","12546776","create date:2003/01/28 | first author:Sugathan P",
"Environmental allergens and asthma in urban elementary schools.","/pubmed/12546335","Amr S, Bollinger ME, Myers M, Hamilton RG, Weiss SR, Rossman M, Osborne L, Timmins S, Kimes DS, Levine ER, Blaisdell CJ.","Ann Allergy Asthma Immunol. 2003 Jan;90(1):34-40.","Ann Allergy Asthma Immunol.  2003","PubMed","citation","PMID:12546335","pubmed","12546335","create date:2003/01/28 | first author:Amr S",
"Clostridium difficile infections in animals with special reference to the horse. A review.","/pubmed/12540137","Båverud V.","Vet Q. 2002 Dec;24(4):203-19. Review.","Vet Q.  2002","PubMed","citation","PMID:12540137","pubmed","12540137","create date:2003/01/24 | first author:Båverud V",
"Smoking, atopy and certain furry pets are major determinants of respiratory symptoms in children: the International Study of Asthma and Allergies in Childhood Study (Ireland).","/pubmed/12534556","Yarnell JW, Stevenson MR, MacMahon J, Shields M, McCrum EE, Patterson CC, Evans AE, Manning PJ, Clancy L.","Clin Exp Allergy. 2003 Jan;33(1):96-100.","Clin Exp Allergy.  2003","PubMed","citation","PMID:12534556","pubmed","12534556","create date:2003/01/22 | first author:Yarnell JW",
"[Does the presence of a pet at home influence the prevalence of asthma and rhinitis?].","/pubmed/12524493","Prodanovic H, Raherison C, Vernejoux JM, Tunon de Lara JM, Taytard A.","Rev Mal Respir. 2002 Dec;19(6):735-40. French. ","Rev Mal Respir.  2002","PubMed","citation","PMID:12524493","pubmed","12524493","create date:2003/01/14 | first author:Prodanovic H",
"Rabies surveillance in the United States during 2001.","/pubmed/12494966","Krebs JW, Noll HR, Rupprecht CE, Childs JE.","J Am Vet Med Assoc. 2002 Dec 15;221(12):1690-701. Review. Erratum in: J Am Vet Med Assoc. 2003 Feb 15;222(4):460.. ","J Am Vet Med Assoc.  2002","PubMed","citation","PMID:12494966","pubmed","12494966","create date:2002/12/24 | first author:Krebs JW",
"Preclinical studies characterizing the anti-migraine and cardiovascular effects of the selective 5-HT1D receptor agonist PNU-142633.","/pubmed/12485205","McCall RB, Huff R, Chio CL, TenBrink R, Bergh CL, Ennis MD, Ghazal NB, Hoffman RL, Meisheri K, Higdon NR, Hall E.","Cephalalgia. 2002 Dec;22(10):799-806.","Cephalalgia.  2002","PubMed","citation","PMID:12485205","pubmed","12485205","create date:2002/12/18 | first author:McCall RB",
"Three duplicons form a novel chimeric transcription unit in the pericentromeric region of chromosome 22q11.","/pubmed/12483300","Bridgland L, Footz TK, Kardel MD, Riazi MA, McDermid HE.","Hum Genet. 2003 Jan;112(1):57-61. Epub 2002 Oct 29.","Hum Genet.  2003","PubMed","citation","PMID:12483300","pubmed","12483300","create date:2002/12/17 | first author:Bridgland L",
"Fluoroquinolone-induced retinal degeneration in cats.","/pubmed/12479325","Wiebe V, Hamilton P.","J Am Vet Med Assoc. 2002 Dec 1;221(11):1568-71. Review.","J Am Vet Med Assoc.  2002","PubMed","citation","PMID:12479325","pubmed","12479325","create date:2002/12/14 | first author:Wiebe V",
"Outbreak of cutaneous larva migrans in Naples, southern Italy.","/pubmed/12474474","Galanti B, Fusco FM, Nardiello S.","Trans R Soc Trop Med Hyg. 2002 Sep-Oct;96(5):491-2.","Trans R Soc Trop Med Hyg.  2002","PubMed","citation","PMID:12474474","pubmed","12474474","create date:2002/12/12 | first author:Galanti B",
"Clinical features and outcome in dogs and cats with obsessive-compulsive disorder: 126 cases (1989-2000).","/pubmed/12458615","Overall KL, Dunham AE.","J Am Vet Med Assoc. 2002 Nov 15;221(10):1445-52.","J Am Vet Med Assoc.  2002","PubMed","citation","PMID:12458615","pubmed","12458615","create date:2002/12/03 | first author:Overall KL",
"Comparison of the endogenous ileal and faecal amino acid excretion in the dog (Canis familiaris) and the rat (Rattus rattus) determined under protein-free feeding and peptide alimentation.","/pubmed/12452975","Hendriks WH, Sritharan K, Hodgkinson SM.","J Anim Physiol Anim Nutr (Berl). 2002 Oct;86(9-10):333-41.","J Anim Physiol Anim Nutr (Berl).  2002","PubMed","citation","PMID:12452975","pubmed","12452975","create date:2002/11/28 | first author:Hendriks WH",
"A comparative review of melanocytic neoplasms.","/pubmed/12450197","Smith SH, Goldschmidt MH, McManus PM.","Vet Pathol. 2002 Nov;39(6):651-78. Review.","Vet Pathol.  2002","PubMed","citation","PMID:12450197","pubmed","12450197","create date:2002/11/27 | first author:Smith SH",
"Cloning of canine GM-CSF and SCF genes.","/pubmed/12441694","Shin IS, Nam MJ, Park SJ, Youn HY, Han HR.","J Vet Sci. 2001 Dec;2(3):159-66.","J Vet Sci.  2001","PubMed","citation","PMID:12441694","pubmed","12441694","create date:2002/11/21 | first author:Shin IS",
"Comparative molecular cytogenetic studies in the order Carnivora: mapping chromosomal rearrangements onto the phylogenetic tree.","/pubmed/12438790","Graphodatsky AS, Yang F, Perelman PL, O'Brien PC, Serdukova NA, Milne BS, Biltueva LS, Fu B, Vorobieva NV, Kawada SI, Robinson TJ, Ferguson-Smith MA.","Cytogenet Genome Res. 2002;96(1-4):137-45.","Cytogenet Genome Res.  2002","PubMed","citation","PMID:12438790","pubmed","12438790","create date:2002/11/20 | first author:Graphodatsky AS",
"Comparative aspects of diabetes mellitus in dogs and cats.","/pubmed/12431816","Hoenig M.","Mol Cell Endocrinol. 2002 Nov 29;197(1-2):221-9. Review.","Mol Cell Endocrinol.  2002","PubMed","citation","PMID:12431816","pubmed","12431816","create date:2002/11/15 | first author:Hoenig M",
"Exposure to pets and allergies in children.","/pubmed/12431192","Hölscher B, Frye C, Wichmann HE, Heinrich J.","Pediatr Allergy Immunol. 2002 Oct;13(5):334-41.","Pediatr Allergy Immunol.  2002","PubMed","citation","PMID:12431192","pubmed","12431192","create date:2002/11/15 | first author:Hölscher B",
"Asthma in the elderly: cockroach sensitization and severity of airway obstruction in elderly nonsmokers.","/pubmed/12426256","Rogers L, Cassino C, Berger KI, Goldring RM, Norman RG, Klugh T, Reibman J.","Chest. 2002 Nov;122(5):1580-6.","Chest.  2002","PubMed","citation","PMID:12426256","pubmed","12426256","create date:2002/11/12 | first author:Rogers L",
"[After cat bite antibiotics are obligatory. Acute management of bite injuries].","/pubmed/12422707","Metzger R, Kanz KG, Lackner CK, Mutschler W.","MMW Fortschr Med. 2002 May 2;144(18):46-9. German.  No abstract available. ","MMW Fortschr Med.  2002","PubMed","citation","PMID:12422707","pubmed","12422707","create date:2002/11/09 | first author:Metzger R",
"Childhood asthma in Beijing, China: a population-based case-control study.","/pubmed/12419771","Zheng T, Niu S, Lu B, Fan X, Sun F, Wang J, Zhang Y, Zhang B, Owens P, Hao L, Li Y, Leaderer B.","Am J Epidemiol. 2002 Nov 15;156(10):977-83.","Am J Epidemiol.  2002","PubMed","citation","PMID:12419771","pubmed","12419771","create date:2002/11/07 | first author:Zheng T",
"A longitudinal analysis of wheezing in young children: the independent effects of early life exposure to house dust endotoxin, allergens, and pets.","/pubmed/12417882","Litonjua AA, Milton DK, Celedon JC, Ryan L, Weiss ST, Gold DR.","J Allergy Clin Immunol. 2002 Nov;110(5):736-42.","J Allergy Clin Immunol.  2002","PubMed","citation","PMID:12417882","pubmed","12417882","create date:2002/11/06 | first author:Litonjua AA",
"Mite and pet allergen levels in homes of children born to allergic and nonallergic parents: the PIAMA study.","/pubmed/12417497","van Strien RT, Koopman LP, Kerkhof M, Spithoven J, de Jongste JC, Gerritsen J, Neijens HJ, Aalberse RC, Smit HA, Brunekreef B.","Environ Health Perspect. 2002 Nov;110(11):A693-8.","Environ Health Perspect.  2002","PubMed","citation","PMID:12417497 | PMCID:PMC1241089","pubmed","12417497","create date:2002/11/06 | first author:van Strien RT",
"Multispecies outbreak of cryptococcosis on southern Vancouver Island, British Columbia.","/pubmed/12395765","Stephen C, Lester S, Black W, Fyfe M, Raverty S.","Can Vet J. 2002 Oct;43(10):792-4. No abstract available. ","Can Vet J.  2002","PubMed","citation","PMID:12395765 | PMCID:PMC339618","pubmed","12395765","create date:2002/10/25 | first author:Stephen C",
"Thermotolerant Campylobacters in domestic animals in a defined population in Buenos Aires, Argentina.","/pubmed/12383655","López CM, Giacoboni G, Agostini A, Cornero FJ, Tellechea DM, Trinidad JJ.","Prev Vet Med. 2002 Oct 15;55(3):193-200.","Prev Vet Med.  2002","PubMed","citation","PMID:12383655","pubmed","12383655","create date:2002/10/18 | first author:López CM",
"Catching up.","/pubmed/12382528","Smith MM.","J Vet Dent. 2002 Sep;19(3):120. No abstract available. ","J Vet Dent.  2002","PubMed","citation","PMID:12382528","pubmed","12382528","create date:2002/10/18 | first author:Smith MM",
"Cardiac troponin T variants produced by aberrant splicing of multiple exons in animals with high instances of dilated cardiomyopathy.","/pubmed/12377784","Biesiadecki BJ, Elder BD, Yu ZB, Jin JP.","J Biol Chem. 2002 Dec 27;277(52):50275-85. Epub 2002 Oct 10.","J Biol Chem.  2002","PubMed","citation","PMID:12377784","pubmed","12377784","create date:2002/10/16 | first author:Biesiadecki BJ",
"Daycare centers and schools as sources of exposure to mites, cockroach, and endotoxin in the city of São Paulo, Brazil.","/pubmed/12373265","Rullo VE, Rizzo MC, Arruda LK, Solé D, Naspitz CK.","J Allergy Clin Immunol. 2002 Oct;110(4):582-8.","J Allergy Clin Immunol.  2002","PubMed","citation","PMID:12373265","pubmed","12373265","create date:2002/10/10 | first author:Rullo VE",
